date_time,temperature_c,temperature_f,humidity,soil_moisture,light
2024-04-08 10:55:11,24,75.2,27,21071,1
2024-04-08 10:55:14,24,75.2,29,21055,1
2024-04-08 10:55:16,24,75.2,28,21055,1
2024-04-08 10:55:18,24,75.2,29,21055,1
2024-04-08 10:55:21,24,75.2,28,21057,1
2024-04-08 10:55:23,24,75.2,28,21058,1
2024-04-08 10:55:25,24,75.2,28,21057,1
2024-04-08 10:55:27,24,75.2,28,21056,1
2024-04-08 10:55:30,24,75.2,29,21056,1
2024-04-08 10:55:32,24,75.2,29,21056,1
2024-04-08 10:55:34,24,75.2,27,21053,1
2024-04-08 10:55:36,24,75.2,27,21055,1
2024-04-08 10:55:39,24,75.2,29,21054,1
2024-04-08 10:55:41,24,75.2,29,21053,1
2024-04-08 10:55:43,24,75.2,28,21054,1
2024-04-08 10:55:45,24,75.2,28,21054,1
2024-04-08 10:55:48,24,75.2,29,21057,1
2024-04-08 10:55:50,24,75.2,28,21054,1
2024-04-08 10:55:52,24,75.2,28,21058,1
2024-04-08 10:55:55,24,75.2,28,21058,1
2024-04-08 12:08:20,26,78.80000000000001,23,21244,1
2024-04-08 12:08:22,26,78.80000000000001,23,21222,1
2024-04-08 12:08:24,26,78.80000000000001,23,21221,1
2024-04-08 12:45:06,26,78.80000000000001,23,21242,1
2024-04-08 12:45:08,24,75.2,26,21223,1
2024-04-08 12:45:10,24,75.2,26,21226,1
